xSingle,ySingle,xMarried,yMarried
1835.713304,3.73E-05,1844.448234,3.03E-05
1851.590655,3.91E-05,1860.283599,3.11E-05
1867.468007,4.11E-05,1876.118965,3.21E-05
1883.345358,4.30E-05,1891.95433,3.32E-05
1899.22271,4.49E-05,1907.789696,3.44E-05
1915.100061,4.67E-05,1923.625061,3.55E-05
1930.977413,4.82E-05,1939.460426,3.63E-05
1946.854764,4.95E-05,1955.295792,3.70E-05
1962.732116,5.08E-05,1971.131157,3.79E-05
1978.609467,5.26E-05,1986.966523,3.94E-05
1994.486819,5.51E-05,2002.801888,4.16E-05
2010.36417,5.81E-05,2018.637254,4.40E-05
2026.241522,6.10E-05,2034.472619,4.63E-05
2042.118873,6.35E-05,2050.307984,4.82E-05
2057.996225,6.55E-05,2066.14335,4.96E-05
2073.873576,6.75E-05,2081.978715,5.11E-05
2089.750928,6.97E-05,2097.814081,5.28E-05
2105.628279,7.22E-05,2113.649446,5.46E-05
2121.505631,7.49E-05,2129.484812,5.61E-05
2137.382982,7.74E-05,2145.320177,5.72E-05
2153.260334,8.00E-05,2161.155542,5.87E-05
2169.137685,8.30E-05,2176.990908,6.12E-05
2185.015037,8.65E-05,2192.826273,6.47E-05
2200.892388,9.08E-05,2208.661639,6.88E-05
2216.76974,9.55E-05,2224.497004,7.29E-05
2232.647091,0.000100432,2240.33237,7.67E-05
2248.524442,0.000105165,2256.167735,7.99E-05
2264.401794,0.000109651,2272.0031,8.27E-05
2280.279145,0.000114115,2287.838466,8.52E-05
2296.156497,0.000118882,2303.673831,8.79E-05
2312.033848,0.000124177,2319.509197,9.16E-05
2327.9112,0.000129996,2335.344562,9.62E-05
2343.788551,0.000136087,2351.179928,0.000100986
2359.665903,0.000142119,2367.015293,0.000104772
2375.543254,0.000148019,2382.850658,0.000107758
2391.420606,0.000154118,2398.686024,0.000111011
2407.297957,0.000160828,2414.521389,0.000115287
2423.175309,0.000168172,2430.356755,0.000120493
2439.05266,0.000175767,2446.19212,0.00012588
2454.930012,0.000183352,2462.027486,0.000130676
2470.807363,0.000191184,2477.862851,0.000134834
