"x","y"
72.9215200149869,6.84182059932218e-09
85.8885590755936,1.49654906621943e-08
98.8555981362003,3.07511061083745e-08
111.822637196807,5.94449178467904e-08
124.789676257414,1.08282095068664e-07
137.75671531802,1.86191269317934e-07
150.723754378627,3.02804217937301e-07
163.690793439234,4.66730536877556e-07
176.657832499841,6.83333282594886e-07
189.624871560447,9.52526907700515e-07
202.591910621054,1.2672774799506e-06
215.558949681661,1.61340738448706e-06
228.525988742267,1.97097669505218e-06
241.493027802874,2.31704075490592e-06
254.460066863481,2.62917197278856e-06
267.427105924088,2.88898451875577e-06
280.394144984694,3.08389382912289e-06
293.361184045301,3.21066452567582e-06
306.328223105908,3.28316172028187e-06
319.295262166514,3.32308019312182e-06
332.262301227121,3.36151648429414e-06
345.229340287728,3.43539684066555e-06
358.196379348334,3.58180829756458e-06
371.163418408941,3.83108844070663e-06
384.130457469548,4.20027760640752e-06
397.097496530155,4.6888096026337e-06
410.064535590761,5.27795968356426e-06
423.031574651368,5.93466280190564e-06
435.998613711975,6.61910658755565e-06
448.965652772581,7.29431398829926e-06
461.932691833188,7.93509332069072e-06
474.899730893795,8.53355017631701e-06
487.866769954402,9.0990445486588e-06
500.833809015008,9.65215980264278e-06
513.800848075615,1.02150057807027e-05
526.767887136222,1.07949458849588e-05
539.734926196828,1.1380390068489e-05
552.701965257435,1.19436736791017e-05
565.669004318042,1.244905473924e-05
578.636043378649,1.28630904995359e-05
591.603082439255,1.31636207699764e-05
604.570121499862,1.33448522809428e-05
617.537160560469,1.34179735022272e-05
630.504199621075,1.34082631992387e-05
643.471238681682,1.33502067110383e-05
656.438277742289,1.3281821197695e-05
669.405316802895,1.32388123541237e-05
682.372355863502,1.32489502995283e-05
695.339394924109,1.33273552669071e-05
708.306433984716,1.34738644228983e-05
721.273473045322,1.36737104842553e-05
734.240512105929,1.39013516133278e-05
747.207551166536,1.4125281016555e-05
760.174590227142,1.43228127606699e-05
773.141629287749,1.4480509170048e-05
786.108668348356,1.45946733079694e-05
799.075707408962,1.46691323093701e-05
812.042746469569,1.4711726587387e-05
825.009785530176,1.4730960716397e-05
837.976824590783,1.47337439249073e-05
850.943863651389,1.47243909245894e-05
863.910902711996,1.47044645596613e-05
876.877941772603,1.46729070245005e-05
889.84498083321,1.46262594095424e-05
902.812019893816,1.45593494291388e-05
915.779058954423,1.44671848038656e-05
928.746098015029,1.43485244625907e-05
941.713137075636,1.42106418274034e-05
954.680176136243,1.40759648680722e-05
967.64721519685,1.39821949299735e-05
980.614254257456,1.39728229545824e-05
993.581293318063,1.40882658195692e-05
1006.54833237867,1.43540282610762e-05
1019.51537143928,1.47712685006101e-05
1032.48241049988,1.53129511806859e-05
1045.44944956049,1.59270052922189e-05
1058.4164886211,1.65456671033778e-05
1071.3835276817,1.70983500025922e-05
